original_name,english_name,slug,smiles,inchi,skeletal_svg_path,full_atoms_svg_path,render_type,resolver_status,status,reason
NADH,NADH,nadh,,"InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",assets/molecules/vorhanden/redox_cofaktoren/nadh__skeletal.svg,assets/molecules/vorhanden/redox_cofaktoren/nadh__full_atoms.svg,structure,resolved,generated_structure,
NADP⁺,NADP⁺,nadpplus,,"InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",assets/molecules/vorhanden/redox_cofaktoren/nadpplus__skeletal.svg,assets/molecules/vorhanden/redox_cofaktoren/nadpplus__full_atoms.svg,structure,resolved,generated_structure,
NADPH,NADPH,nadph,,"InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",assets/molecules/vorhanden/redox_cofaktoren/nadph__skeletal.svg,assets/molecules/vorhanden/redox_cofaktoren/nadph__full_atoms.svg,structure,resolved,generated_structure,
NH₃,NH₃,nh,,InChI=1S/H3N/h1H3,assets/molecules/vorhanden/kleine_molekuele_ionen/nh__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/nh__full_atoms.svg,structure,resolved,generated_structure,
NH₄⁺,NH₄⁺,nh-plus,,InChI=1S/H3N/h1H3/p+1,assets/molecules/vorhanden/kleine_molekuele_ionen/nh-plus__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/nh-plus__full_atoms.svg,structure,resolved,generated_structure,
O₂,O₂,o,,InChI=1S/O2/c1-2,assets/molecules/vorhanden/kleine_molekuele_ionen/o__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/o__full_atoms.svg,structure,resolved,generated_structure,
Ornithin,Ornithine,ornithin,,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1",assets/molecules/vorhanden/harnstoffzyklus/ornithin__skeletal.svg,assets/molecules/vorhanden/harnstoffzyklus/ornithin__full_atoms.svg,structure,resolved,generated_structure,
Oxalacetat,Oxaloacetate,oxalacetat,,"InChI=1S/C4H4O5/c5-2(4(8)9)1-3(6)7/h1H2,(H,6,7)(H,8,9)",assets/molecules/vorhanden/citratzyklus/oxalacetat__skeletal.svg,assets/molecules/vorhanden/citratzyklus/oxalacetat__full_atoms.svg,structure,resolved,generated_structure,
Palmitat,Palmitate,palmitat,,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",assets/molecules/vorhanden/lipide/palmitat__skeletal.svg,assets/molecules/vorhanden/lipide/palmitat__full_atoms.svg,structure,resolved,generated_structure,
Palmitoyl-ACP,Palmitoyl-ACP,palmitoyl-acp,,,assets/molecules/nicht_vorhanden/palmitoyl-acp__skeletal.svg,assets/molecules/nicht_vorhanden/palmitoyl-acp__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
